NO,category,count,cat4,cat3,cat2,cat1
1,1111,3523,1,1,1,1
2,1112,0,2,1,1,1
3,1113,0,3,1,1,1
4,1114,50,4,1,1,1
5,1121,0,1,2,1,1
6,1122,0,2,2,1,1
7,1123,0,3,2,1,1
8,1124,0,4,2,1,1
9,1131,0,1,3,1,1
10,1132,0,2,3,1,1
11,1133,0,3,3,1,1
12,1134,0,4,3,1,1
13,1141,48,1,4,1,1
14,1142,0,2,4,1,1
15,1143,0,3,4,1,1
16,1144,17,4,4,1,1
17,1211,0,1,1,2,1
18,1212,0,2,1,2,1
19,1213,0,3,1,2,1
20,1214,0,4,1,2,1
21,1221,0,1,2,2,1
22,1222,0,2,2,2,1
23,1223,0,3,2,2,1
24,1224,0,4,2,2,1
25,1231,0,1,3,2,1
26,1232,0,2,3,2,1
27,1233,0,3,3,2,1
28,1234,0,4,3,2,1
29,1241,0,1,4,2,1
30,1242,0,2,4,2,1
31,1243,0,3,4,2,1
32,1244,0,4,4,2,1
33,1311,0,1,1,3,1
34,1312,0,2,1,3,1
35,1313,0,3,1,3,1
36,1314,0,4,1,3,1
37,1321,0,1,2,3,1
38,1322,0,2,2,3,1
39,1323,0,3,2,3,1
40,1324,0,4,2,3,1
41,1331,0,1,3,3,1
42,1332,0,2,3,3,1
43,1333,0,3,3,3,1
44,1334,0,4,3,3,1
45,1341,0,1,4,3,1
46,1342,0,2,4,3,1
47,1343,0,3,4,3,1
48,1344,0,4,4,3,1
49,1411,90,1,1,4,1
50,1412,0,2,1,4,1
51,1413,0,3,1,4,1
52,1414,6,4,1,4,1
53,1421,0,1,2,4,1
54,1422,0,2,2,4,1
55,1423,0,3,2,4,1
56,1424,0,4,2,4,1
57,1431,0,1,3,4,1
58,1432,0,2,3,4,1
59,1433,0,3,3,4,1
60,1434,0,4,3,4,1
61,1441,7,1,4,4,1
62,1442,0,2,4,4,1
63,1443,0,3,4,4,1
64,1444,1,4,4,4,1
65,2111,0,1,1,1,2
66,2112,0,2,1,1,2
67,2113,0,3,1,1,2
68,2114,0,4,1,1,2
69,2121,0,1,2,1,2
70,2122,0,2,2,1,2
71,2123,0,3,2,1,2
72,2124,0,4,2,1,2
73,2131,0,1,3,1,2
74,2132,0,2,3,1,2
75,2133,0,3,3,1,2
76,2134,0,4,3,1,2
77,2141,0,1,4,1,2
78,2142,0,2,4,1,2
79,2143,0,3,4,1,2
80,2144,0,4,4,1,2
81,2211,0,1,1,2,2
82,2212,0,2,1,2,2
83,2213,0,3,1,2,2
84,2214,0,4,1,2,2
85,2221,0,1,2,2,2
86,2222,0,2,2,2,2
87,2223,0,3,2,2,2
88,2224,0,4,2,2,2
89,2231,0,1,3,2,2
90,2232,0,2,3,2,2
91,2233,0,3,3,2,2
92,2234,0,4,3,2,2
93,2241,0,1,4,2,2
94,2242,0,2,4,2,2
95,2243,0,3,4,2,2
96,2244,0,4,4,2,2
97,2311,0,1,1,3,2
98,2312,0,2,1,3,2
99,2313,0,3,1,3,2
100,2314,0,4,1,3,2
101,2321,0,1,2,3,2
102,2322,0,2,2,3,2
103,2323,0,3,2,3,2
104,2324,0,4,2,3,2
105,2331,0,1,3,3,2
106,2332,0,2,3,3,2
107,2333,0,3,3,3,2
108,2334,0,4,3,3,2
109,2341,0,1,4,3,2
110,2342,0,2,4,3,2
111,2343,0,3,4,3,2
112,2344,0,4,4,3,2
113,2411,0,1,1,4,2
114,2412,0,2,1,4,2
115,2413,0,3,1,4,2
116,2414,0,4,1,4,2
117,2421,0,1,2,4,2
118,2422,0,2,2,4,2
119,2423,0,3,2,4,2
120,2424,0,4,2,4,2
121,2431,0,1,3,4,2
122,2432,0,2,3,4,2
123,2433,0,3,3,4,2
124,2434,0,4,3,4,2
125,2441,0,1,4,4,2
126,2442,0,2,4,4,2
127,2443,0,3,4,4,2
128,2444,0,4,4,4,2
129,3111,0,1,1,1,3
130,3112,0,2,1,1,3
131,3113,0,3,1,1,3
132,3114,0,4,1,1,3
133,3121,0,1,2,1,3
134,3122,0,2,2,1,3
